username,twhandle,postdate,content,responding,reply,retweet,like
Kozmos Ekstra,@KozmosEkstra,2021-08-11T20:17:07.000Z,"Perseid Meteor Yağmurunu Kaçırmayın 

11-13 Ağustos tarihleri arasında çıplak gözle bile görebileceğiniz meteor yağmurunu izlemek için tek yapmanız gereken şey şehir ışıklarından uzak bir yerde bulunmak.

#perseidmeteoryağmuru #astronomi #uzay #evren",,,,5,"['perseidmeteoryağmuru', 'astronomi', 'uzay', 'evren']"
Sözlük,@_terimlersozluk,2021-08-11T19:59:05.000Z,"""Tanrı, Amerikalıların coğrafyayı öğrenmesi için savaş... - #amerika #tarih #savaş #marktwain - #uzay #çarşamba","Tanrı, Amerikalıların coğrafyayı öğrenmesi için savaş yarattı -Mark amerika - tarih - savaş - mark...
Tanrı, Amerikalıların coğrafyayı öğrenmesi için savaş yarattı -Mark nedir ve Tanrı, Amerikalıların coğrafyayı öğrenmesi için savaş yarattı -Mark hakkında kısa ilginç bilgi Tanrı, Amerikalıların...
turkcebilgi.org",,,,"['amerika', 'tarih', 'savaş', 'marktwain', 'uzay', 'çarşamba']"
Sözlük,@_terimlersozluk,2021-08-11T19:59:03.000Z,1995-1999 yılları arasında tedavülde olan arka... - #tarih #para #ekonomi #atatürk #türklirası #tbmm - #uzay #çarşamba,"1995-1999 yılları arasında tedavülde olan arka yüzünde tarih - para - ekonomi - atatürk - türk...
1995-1999 yılları arasında tedavülde olan arka yüzünde nedir ve 1995-1999 yılları arasında tedavülde olan arka yüzünde hakkında kısa ilginç bilgi 1995-1999 yılları arasında tedavülde olan arka...
turkcebilgi.org",,,,"['tarih', 'para', 'ekonomi', 'atatürk', 'türklirası', 'tbmm', 'uzay', 'çarşamba']"
medi,@hale_medi,2021-08-11T19:54:22.000Z,"İlk #Uzay Olimpiyatları Uluslararası Uzay İstasyonu'nda yapıldı. Dragon ve Soyuz takımları yarıştı. Senkronize uzay yüzme şampiyonasından uzay futboluna, takladan amuda kalkmaya kadar her şey vardı. Top ayakla değil üfleyerek oynanıyordu.","See the ISS crew compete in weightless synchronized swimming in first-ever 'Space Olympics'
Other events included no-handball and lack-of-floor routine.
cnet.com",,,,['Uzay']
Fizik Hub,@FizikHub,2021-08-10T21:07:48.000Z,"Jüpiter ve Mars'ın Güneş etrafında ki dönüşü sırasında oluşan geometrik desen
#SpaceX #nasa #Space #uzay #astronomy #Astrophotography #fizik #Physics #Bilim #müjde #Science #planet #gezegen #ESA #hubble #mars #Jupiter #doğa #nebula #galaxy #cosmos #güneş #sun #UNIVERSE #evren",,,2,5,"['SpaceX', 'nasa', 'Space', 'uzay', 'astronomy', 'Astrophotography', 'fizik', 'Physics', 'Bilim', 'müjde', 'Science', 'planet', 'gezegen', 'ESA', 'hubble', 'mars', 'Jupiter', 'doğa', 'nebula', 'galaxy', 'cosmos', 'güneş', 'sun', 'UNIVERSE', 'evren']"
Fizik Hub,@FizikHub,2021-08-10T19:57:39.000Z,"Geçmişten günümüze uzay araştırmalarında gelinen nokta
#SpaceX #nasa #Space #uzay #astronomy #Astrophotography #fizik #Physics #Bilim #müjde #Science #planet #gezegen #ESA #hubble #Saturn #Jupiter #nebula #Galaxy #Cosmos #UNIVERSE #nature #photography #doga #Mars #fotoğraf",,,2,9,"['SpaceX', 'nasa', 'Space', 'uzay', 'astronomy', 'Astrophotography', 'fizik', 'Physics', 'Bilim', 'müjde', 'Science', 'planet', 'gezegen', 'ESA', 'hubble', 'Saturn', 'Jupiter', 'nebula', 'Galaxy', 'Cosmos', 'UNIVERSE', 'nature', 'photography', 'doga', 'Mars', 'fotoğraf']"
Istanbul Galactic,@IstanbulGalact1,2021-08-10T19:09:01.000Z,"Mars'dan yeni haber ! Uzay aracındaki örnek kayıp !
merikan Ulusal Havacılık ve Uzay Dairesi'nin (NASA) uzay aracı Perseverance'ın Mars'ta ilk kaya toplama girişimi başarısızlıkla sonuçlandı. NASA'nın mühendisleri, şimdi neyin yanlış gittiğini anlamaya çalışıyor.

#nasa #uzay",,,,,"['nasa', 'uzay']"
LeGazete,@legazetecom,2021-08-10T18:20:41.000Z,"NASA ve Boston Dynamics, diğer gezegenlerde yaşam belirtisi aramak ve mağaralara bakmak için robot geliştiriyor.

#NASA #bostondynamics #uzay #robot","NASA ve Boston Dynamics, gezegenlerdeki mağaraları robotlarla inceleyecek
NASA ve Boston Dynamics, diğer gezegenlerde yaşam belirtisi aramak ve mağaralara bakmak için robot geliştiriyor. Son yıllarda NASA ve SpaceX, önce Ay’a ardından da Mars’a gidebilmek için çeşitli...
legazete.com",,,,"['NASA', 'bostondynamics', 'uzay', 'robot']"
Nedeni Nedir,@NedeniNedirCom,2021-08-10T18:02:34.000Z,Ay'ın farklı görüntüleri #Ay #Uzay,GIF,,,,"['Ay', 'Uzay']"
Bir Tory,@BirTory,2021-08-10T16:55:19.000Z,"Güneş Sistemi'nde yer alan ve bilinen en büyük dağ olan Olympus Mons.

Dünya'nın en yüksek dağı Everest’ten üç kat daha yüksektir. Dağın yüksekliği 21 bin 287 metredir.

#mount #NASA #Bilim #uzay #Güneş",,,,,"['mount', 'NASA', 'Bilim', 'uzay', 'Güneş']"
"kaptan,marsda inicem",@fsh77,2021-08-10T16:02:18.000Z,"#Kodlama #ders lerinde bugün biraz nostalji yaparak iki boyutlu #uzay savaşı temalı #oyun u yaparken bir çok kavramı öğrenmiş oluyoruz
#Dersler uzaktan etkileşimli olarak veya grup olarak verilebilir,kodlama öğrenme fırsatı 
https://scratch.mit.edu/proj",,,,,"['Kodlama', 'ders', 'uzay', 'oyun', 'Dersler']"
UzayA Hukuk ve Bilim Derneği,@UzayAhukuk,2021-08-10T15:25:22.000Z,"#çekiliş #kitap #uzay #KitapÇekilişi #hukuk

Twitter hesabımızı takip edip bu gönderiyi retweetleyen bir kişiye Dernek Genel Başkanımız Av.Abdurrahman Onay'ın Uzay Hukuku e-kitabını hediye edeceğiz.

Son tarih 12 Ağustos Perşembe 

Sonuçlar 13 Ağustos Cuma saat 19.00",,,4,2,"['çekiliş', 'kitap', 'uzay', 'KitapÇekilişi', 'hukuk']"
Av.Abdurrahman Onay,@onay_av,2021-08-09T13:42:50.000Z,"Uzaya Hukuk ve Bilim Derneği olarak hazırlamış olduğumuz toplam 74 maddeden oluşan Uzay Hukuku Mevzuat Tasarımız şimdilik taslak metin halinde incelemeye açılmıştır.
Tasarımızı incelemek için web sitemizi ziyaret edebilirsiniz.
Linkimiz : https://uzayahukuk.com/tr/bizden-haberler-63/uzay-hukuku-mevzuat-tasarimiz-6…

#uzay #hukuk",,,1,1,"['uzay', 'hukuk']"
F_13Official,@13officialF,2021-08-09T13:24:56.000Z,#Bilgi #Uzay #astronomia #Bilim #sanat,,,,1,"['Bilgi', 'Uzay', 'astronomia', 'Bilim', 'sanat']"
Uzay Kampı Türkiye,@Uzay_Kampi,2021-08-09T13:00:01.000Z,"ESA’nın Çifte Venüs Geçişi
#venüs #ESA #NASA #avrupauzayajansı #bilim #uzay #uzaybilimleri #solarorbite #bepicolombo #gökbilim #astronom #galaksi #evren  #eğlencelietkinlikler #uzaykampı #uzaykampiturkiye",,,1,3,"['venüs', 'ESA', 'NASA', 'avrupauzayajansı', 'bilim', 'uzay', 'uzaybilimleri', 'solarorbite', 'bepicolombo', 'gökbilim', 'astronom', 'galaksi', 'evren', 'eğlencelietkinlikler', 'uzaykampı', 'uzaykampiturkiye']"
UzayA Hukuk ve Bilim Derneği,@UzayAhukuk,2021-08-09T12:44:52.000Z,"Uzay Sınırı nerede başlar ve nerede biter? 
Karman Hattı tam olarak nedir?
Bu soruların tam olarak cevaplarını Uzay Hukuku Politikaları uzmanı Prof.Dr. Fuat İnce şöyle cevapladı;

Part:1

#uzay #uzayhukuku #bilim #politika #hukuk
#space #vonkarman",,1,1,1,"['uzay', 'uzayhukuku', 'bilim', 'politika', 'hukuk', 'space', 'vonkarman']"
TurkceBilgi.Net,@TurkcebilgiNet,2021-08-09T12:23:01.000Z,"Xiaomi, arka panelinde güneş enerjisi modülüne... - #teknoloji #mobil #xiaomi #telefon #patent #güneşenerjisi - #uzay #pazartesi","Xiaomi, arka panelinde güneş enerjisi modülüne yer teknoloji - mobil - xiaomi - telefon - patent -...
Xiaomi, arka panelinde güneş enerjisi modülüne yer nedir ve Xiaomi, arka panelinde güneş enerjisi modülüne yer hakkında kısa ilginç bilgi Xiaomi, arka panelinde güneş enerjisi modülüne yer ile ilgili...
turkcebilgi.org",,,,"['teknoloji', 'mobil', 'xiaomi', 'telefon', 'patent', 'güneşenerjisi', 'uzay', 'pazartesi']"
Haber Buketi,@HaberBuketiTR,2021-08-09T11:50:23.000Z,"Son günlerde uzay turizmi büyük bir gündem maddesi. Hepimiz insanlığın artık uzayda 'gezebilen' bir tür olabilmesinin heyecanını yaşıyoruz. Ancak tabii ki insanlık için uzay turizmi henüz emeklediğimiz bir alan.  #Uzay #Veri̇ler #Yol

https://haberbuketi.net/2021/08/07/uzayi-gercek-goruntuler-esliginde-gezmenizi-saglayan-site/…",,,,,"['Uzay', 'Veri', 'Yol']"
