username,twhandle,postdate,content,responding,reply,retweet,like
Bilim ve Aydınlanma Akademisi,@bilimveaydnlnma,2021-08-02T16:34:51.000Z,"Yaz okulumuz başladı...

“20. Yüzyılda Sınıf Mücadeleleri ve Bilim Felsefesi” üst-başlıklı yaz okulunda dört gün boyunca bilim düşüncesinin en tartışmalı dönemini ele alacağız.

#bilim #felsefe #toplum #fizik #matematik #psikanaliz #sınıf #sosyalizm",,,5,19,"['bilim', 'felsefe', 'toplum', 'fizik', 'matematik', 'psikanaliz', 'sınıf', 'sosyalizm']"
TeLoCuentoEn5Minutos,@Telocuentoen5m,2021-08-02T15:29:30.000Z,#ConjuntodeCantor #infinito #infinity #maths #divulgación #ciencia #ciencias #science #mathproblems #mathteacher #mathstudent #mathematics #matematicas #matematik #divulagacioncientifica  #divulga #mathematician #divulgando #scientist #mathsinlove #math #mathisfun,,,,,"['ConjuntodeCantor', 'infinito', 'infinity', 'maths', 'divulgación', 'ciencia', 'ciencias', 'science', 'mathproblems', 'mathteacher', 'mathstudent', 'mathematics', 'matematicas', 'matematik', 'divulagacioncientifica', 'divulga', 'mathematician', 'divulgando', 'scientist', 'mathsinlove', 'math', 'mathisfun']"
Mustafa Varol,@Mustafa61954294,2021-08-02T12:40:11.000Z,Yetenek Geliştirme Atölyeleri Sadece Mercan Kolejinde #stem #robotikkodlama #müzik #görselsanatlar #akıloyunları #satranç #drama #fen #matematik #ingilizce #mutfak #proje #moderndans #yüzme #atbinme #futbol #basketbol #tenis #masatenisi #voleybol#jimnastik #mercankolejieniyisi,,,,,"['stem', 'robotikkodlama', 'müzik', 'görselsanatlar', 'akıloyunları', 'satranç', 'drama', 'fen', 'matematik', 'ingilizce', 'mutfak', 'proje', 'moderndans', 'yüzme', 'atbinme', 'futbol', 'basketbol', 'tenis', 'masatenisi', 'voleybol', 'jimnastik', 'mercankolejieniyisi']"
Küp Yayınları,@kupyayinlari,2021-08-02T12:38:05.000Z,"Akıllı defterlerimizle tanışma zamanı... Bizi takip edin, haberiniz olsun... #küpyayınları  #matematik #akıllıdefter #ogretmen #matematiköğretmeni https://instagram.com/p/CSEoGapDp8j/?utm_medium=twitter…",,,,,"['küpyayınları', 'matematik', 'akıllıdefter', 'ogretmen', 'matematiköğretmeni']"
iStem Koleji,@iStemKoleji,2021-08-02T12:06:06.000Z,"Matematik olimpiyatlarına #iSTEM le hazırlan !

#YKS #LGS #Matematik #Olimpiyat #MatematikOlimpiyati #iStemKoleji #EğitimeİyiGelecek",,,1,5,"['iSTEM', 'YKS', 'LGS', 'Matematik', 'Olimpiyat', 'MatematikOlimpiyati', 'iStemKoleji', 'EğitimeİyiGelecek']"
Çocukluktan Gelen,@cocukluktangeln,2021-08-02T09:33:33.000Z,"Herkese merhabalar 

“Haftanın Sorusu” karşınızda 

Sen de soruları çözmeye çalış ve arkadaşlarını etiketleyerek onlara meydan oku

*Sorunun cevabı için hikayeyi takip etmeyi unutma 

#korkundegiltutkunolsun
#cocukluktangelen #istanbul
#matematik #gününsorusu",,,,5,"['korkundegiltutkunolsun', 'cocukluktangelen', 'istanbul', 'matematik', 'gününsorusu']"
@Şirin Öğretmen,@Şirin Öğretmen,2021-08-01T15:21:57.000Z,"öğrenciler için akıl ve zeka  sorusu
#iyikiöğretmenim #okul #4sınıfmatematik  #3sınıf #akılvezeka #sınıföğretmeni #öğretmen #ilkokulmatematik #4sınıf #matematiksorusu #matematik  #telafidebendevarım #tatil #maths",,,,,"['iyikiöğretmenim', 'okul', '4sınıfmatematik', '3sınıf', 'akılvezeka', 'sınıföğretmeni', 'öğretmen', 'ilkokulmatematik', '4sınıf', 'matematiksorusu', 'matematik', 'telafidebendevarım', 'tatil', 'maths']"
Çocukluktan Gelen,@cocukluktangeln,2021-08-01T14:59:58.000Z,"Sizce ""Koni” ne demek?

Daha önce hiç merak etmiş miydiniz?

Cevabınızı yorumlara yazabilirsiniz 

#korkundegiltutkunolsun
#cocukluktangelen
#matematik #terim #cebir
#matematiksözlüğü
#istanbulüniversitesi
#matematikterimleriÇG",,,,4,"['korkundegiltutkunolsun', 'cocukluktangelen', 'matematik', 'terim', 'cebir', 'matematiksözlüğü', 'istanbulüniversitesi', 'matematikterimleriÇG']"
Bilim Portal,@bilimportal2020,2021-08-01T14:54:35.000Z,Şaşırtıcı Çizgiler: Turing Desenleri Tropikal #Balık ve Bizmut Kristal Büyümesini Bağlıyor https://bilimportal.com/?p=27459&utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost… #algoritma #biyofizik #hokkaidoÜniversitesi #kristaller #matematik #nanoteknoloji,"Şaşırtıcı Çizgiler: Turing Desenleri Tropikal Balık ve Bizmut Kristal Büyümesini Bağlıyor | Bilim...
Monoatomik bir bizmut tabakasında bulunan çizgili desen, bazı tropikal balıkların pigmentasyonunda bulunanla aynıdır. Her ikisi de, bir dizi dinamik denklemi
bilimportal.com",,,,"['Balık', 'algoritma', 'biyofizik', 'hokkaidoÜniversitesi', 'kristaller', 'matematik', 'nanoteknoloji']"
Pratik Matematik,@besdakikadamat1,2021-08-01T14:32:23.000Z,"#kpss2021 #Pazar #math #matematik 
Çözüm:
https://youtu.be/7Dat3MA8V_8",,5,8,31,"['kpss2021', 'Pazar', 'math', 'matematik']"
Eran değil ERHAN,@alierhan_,2021-08-01T14:19:34.000Z,Her zaman en güvendiğim kazık atıyor bana #matematik #kpss2021,,,,3,"['matematik', 'kpss2021']"
ÇAMLICA OKULLARI,@camlicaokullari,2021-08-01T13:42:57.000Z,"SEN BİR DÜNYASIN, SEN DEĞİŞİRSEN DÜNYA DEĞİŞECEK!...

http://ww.camlicakoleji.com.tr 

 Okullarımız Hakkında Veli Yorumları için tıklayınız..
https://pubhtml5.com/opkg/okqi
.
.
.
#lgsturkiyebirincisi #Malatya #Kolej #Okul #özelokul #eğitim #lgsüssü #Matematik #İngilizce #ilkokul #LGS",,,,,"['lgsturkiyebirincisi', 'Malatya', 'Kolej', 'Okul', 'özelokul', 'eğitim', 'lgsüssü', 'Matematik', 'İngilizce', 'ilkokul', 'LGS']"
nobody,@HenrikMadsen18,2021-07-31T20:58:41.000Z,"Replying to 
@TarpCPH",Der må være en matematiker på linjen der kan komme med noget underbyggende data? #matematik #twitterhjerne,,,,[]
Saygın Eğitim Kurumu,@sayginegitim,2021-07-31T18:22:14.000Z,#ilkokul #ortaokul #kayıtlarımızdevamediyor #lgs #lgs2022 #lgs2022tayfa #türkçe #matematik #fenbilimleri #inkılaptarihi #ingilizce #dinkültürü #türktelekomortaokulu #ziyaeddinakbulutortaokulu #haliliyeortaokulu #yunusemreimkbilkokulu #2002vakıflarilkokulu #yenişehirortaokulu,,,5,5,"['ilkokul', 'ortaokul', 'kayıtlarımızdevamediyor', 'lgs', 'lgs2022', 'lgs2022tayfa', 'türkçe', 'matematik', 'fenbilimleri', 'inkılaptarihi', 'ingilizce', 'dinkültürü', 'türktelekomortaokulu', 'ziyaeddinakbulutortaokulu', 'haliliyeortaokulu', 'yunusemreimkbilkokulu', '2002vakıflarilkokulu', 'yenişehirortaokulu']"
İÜ Matematik Kulübü,@iumatematik,2021-07-31T17:52:31.000Z,"Etkinliğimiz Zoom & YouTube platformları üzerinden canlı olarak gerçekleşecektir ve kayıt altına alınacaktır. Zoom bilgileri için DM üzerinden iletişime geçebilirsiniz.

Etkinliğimizde görüşmek üzere. 
#istanbulüniversitesi #matematik #yapayzeka #eğitim #etkinlik",,,,4,"['istanbulüniversitesi', 'matematik', 'yapayzeka', 'eğitim', 'etkinlik']"
MemurDavalari.com,@memurdavalari,2021-07-31T14:23:50.000Z,"LGS 1. nakil sonuçları ne zaman açıklanacak? http://memurdavalari.com/lgs-1-nakil-sonuclari-ne-zaman-aciklanacak/2420/… 
#Lgs #lgs2021 #lgsnakil #matematik","LGS 1. nakil sonuçları ne zaman açıklanacak?
LGS Yerleştirmeye esas 1. nakil sonuçları için heyecan dorukta. LGS yerleştirme sonuçlarının açıklanmasının ardından yerleşemeyen ve yerleştiği okulu değiştirmek isteyen öğrenciler 1. nakil tercihl...
memurdavalari.com",,,,"['Lgs', 'lgs2021', 'lgsnakil', 'matematik']"
Akıl Oyunları,@AklOyunlar3,2021-07-30T16:44:12.000Z,"Egitici acık hava etkinliğimiz...
Eskişehir gsb tepebaşı merkezi gönüllü arkadaşlara teşekkür ederiz. 
Eskişehir Akıl Ve Zeka Oyunları Eğitim Gençlik ve Spor Kulüpleri Derneği
#eskişehir #eğitim #bilgi #yetenek #başarı #akıl #akılvezakaoyunları #matematik #ögretmen",,,,1,"['eskişehir', 'eğitim', 'bilgi', 'yetenek', 'başarı', 'akıl', 'akılvezakaoyunları', 'matematik', 'ögretmen']"
ogretmentercihimcom,@ogretmentercih,2021-07-30T16:41:20.000Z,"Sistemimize kayıtlı binlerce öğretmenimizden sadece birisi olan Matematik branşında eğitim veren Ceren öğretmenimizin tanıtım videosuyla sizi baş başa bırakıyoruz. 

#matematik #özelders",,,,,"['matematik', 'özelders']"
ogretmentercihimcom,@ogretmentercih,2021-07-30T16:40:40.000Z,"Sistemimize kayıtlı binlerce öğretmenimizden sadece birisi olan Matematik branşında eğitim veren Ceren öğretmenimizin tanıtım videosuyla sizi baş başa bırakıyoruz. 
#matematik #özelders","0:21
1 view",,,,"['matematik', 'özelders']"
Onelvisjulien@gmail.com,Onelvisjulien@gmail.com,2021-07-30T16:18:37.000Z,"https://youtu.be/ZG1cE16SWOk

Tutorial de  División,  cómo hacerlo más fácil?
#matematik
#division
#matematica","División por dos cifras.
En el video se muestra el tema de la División por dos cifras. Los invito a dividir usando la habilidad sugerida. Resolveremos cinco ejercicios.Enlace sobre ...
youtube.com",,,1,"['matematik', 'division', 'matematica']"
BEYAZAKADEMİ,@byzakademi,2021-07-30T13:31:11.000Z,"#matematik
#tyt #ayt 
#lisematematik
#yks2022
#universitesinavi",BEYAZAKADEMİ,,,1,"['matematik', 'tyt', 'ayt', 'lisematematik', 'yks2022', 'universitesinavi']"
yusuf kayacık,@vetyusuf,2021-07-29T16:19:47.000Z,"#YKS sonuçları korkunç.
Sınava giren öğrencilerin; 
Sorulan 40 #Matematik sorusundan sadece 5.2'sini, 14 #Fizik sorusundan sadece 1.5'ini, 13 #Kimya sorusundan ise sadece 1.9'unu doğru yanıtladıklarını BİLİYOR MUSUNUZ?
Çok üzgünüm.
Pandemiydi, 4+4+4'dü derken bir nesli heba ettik",,2,,5,"['YKS', 'Matematik', 'Fizik', 'Kimya']"
İÜ Matematik Kulübü,@iumatematik,2021-07-29T15:03:26.000Z,"Merhabalar,

28 Temmuz Çarşamba günü dördüncüsünü gerçekleştirdiğimiz “Bu İşin İçinde Bir Matematik Var.” serimizin Matematik ve Blockchain etkinliğinden kareler.
Başka etkinliklerimizde görüşmek üzere. 
@say_cem
#istanbulüniversitesi  #matematik #blockcahin #eğitim #etkinlik",,,,7,"['istanbulüniversitesi', 'matematik', 'blockcahin', 'eğitim', 'etkinlik']"
Çankaya Üniversitesi,@cankayau,2021-07-29T15:03:20.000Z,"Matematik Bölümü Başkanımız Prof. Dr. Fahd Jarad: Aday öğrencilerimiz için Matematik Bölümümüzle ilgili merak edilenleri anlattı.

https://youtube.com/watch?v=x6W7MC3ObF0…

#ÇankayaÜniversitesi #CankayaUniversity #AdayÖğrenci #Matematik #TercihinizBaşarıOlsun #MatematikBölümü","Matematik Bölümü Başkanımız Prof. Dr. Fahd Jarad
Matematik Bölümü Başkanımız Prof. Dr. Fahd Jarad: Aday öğrencilerimiz için Matematik Bölümümüzle ilgili merak edilenleri anlattı. Üniversitemiz hakkında mera...
youtube.com",,,2,"['ÇankayaÜniversitesi', 'CankayaUniversity', 'AdayÖğrenci', 'Matematik', 'TercihinizBaşarıOlsun', 'MatematikBölümü']"
yαѕιyor ѕαɴιlιyor αмα,@Rahmetlee06,2021-07-29T15:01:27.000Z,Bu duruma ne diyorsunuz? #georgedantzig #matematik #Persembe #hikaye #problem #ödev #bilim #öğrenci,,,,,"['georgedantzig', 'matematik', 'Persembe', 'hikaye', 'problem', 'ödev', 'bilim', 'öğrenci']"
Matematica Oggi,@MatematicaOggi,2021-07-29T14:51:56.000Z,Nuovo articolo di #geometria! #angoli #matematica #matematicafacile #matematicaoggi #esercizidimatematica #esercizidigeometria #lezionidimatematica #lezionidigeometria #matematicas #Math #Maths #mathematics #matematik https://matematicaoggi.it/angolo-somma-e-angolo-differenza/…,,,,,"['geometria', 'angoli', 'matematica', 'matematicafacile', 'matematicaoggi', 'esercizidimatematica', 'esercizidigeometria', 'lezionidimatematica', 'lezionidigeometria', 'matematicas', 'Math', 'Maths', 'mathematics', 'matematik']"
marcoskankaoprof,@marcoskankaopr1,2021-07-29T14:15:31.000Z,"Hoje, às 20h.

Para acessar, acesse https://youtu.be/cdFllBe4RFE e ative as notificações.

#matemáticaefísica
#enem #enem2021
#matematik #matematicas 
#vestibular #estudar
#foco #Desafio2021",,,,,"['matemáticaefísica', 'enem', 'enem2021', 'matematik', 'matematicas', 'vestibular', 'estudar', 'foco', 'Desafio2021']"
Ibrahim GÜNEŞ,@confident35i,2021-07-28T15:46:15.000Z,"Özüne ihanet edenin sözüne güvenilmez buda benim sözümdür burada dursun 
Aslını inkar eden bizden değildir (Hz.Ali)
Durmuş durduyan olsan bizm için yine insandin ama şimdi degilsn
#AsıyıBırakSanatınaBak #AsıKartıZuluemduer #matematik #yks2021 #YksBirincisiEmrePolat #yks2021tayfa","Quote Tweet
Cennet Kavlak
@KavlakCennet
 · Jul 28
34 yaşında ""Durmuş Durduyan""
olan ismini değiştirip, çok iddialı bir isim olan ""Oğuzhan Asiltürk"" ismini
almıştır.
         Fakat rahat durmuyor. İktidarla
birleşmesi için Saadet Partisine 
baskı yapıyor.
          İnine git  Durmuş Durduyan...",,,2,"['AsıyıBırakSanatınaBak', 'AsıKartıZuluemduer', 'matematik', 'yks2021', 'YksBirincisiEmrePolat', 'yks2021tayfa']"
Ibrahim GÜNEŞ,@confident35i,2021-07-28T15:41:28.000Z,Yine yağ kuyruğunda yağ alamadık diyen bir totoş ve onu göt eden güzel kardeşimiz konuş kardeşim konuş bun ülkenin sizin gibi gençlere ihtiyacı var #matematik,"Quote Tweet
∞ PoLeN ∞
@twitlerimikedi7
 · Jul 28
Z kuşağını korkmuyor.
Z kuşağını susturmayacaksınız!

#yks2021 #Gitmiyoruz #borsa Siirt Afganlı seyahat tebrik matematik ODTÜ Demet",,,2,['matematik']
Enes Tosun,@willyenes7,2021-07-28T15:41:23.000Z,Söylenecek söz yok her zaman ki matematik #matematik,,,,1,['matematik']
ilysglm,@janti_55,2021-07-28T15:40:42.000Z,"Burada sığınmacıların durumunu ve 
Nasıl gönderileceğini
@umitozdag
 ümit Özdağ tane tane anlatıyor #matematik 
Oğuzhan asilturk","Quote Tweet
ilysglm
@janti_55
 · Jul 28
https://youtu.be/MI3dfrI4w2A",,,,['matematik']
