username,twhandle,postdate,content,responding,reply,retweet,like
Ne Haber,@nehaberajansi,2021-08-11T14:01:12.000Z,"11 Ağustos Çarşamba günü Nöbetçi Eczaneler

#siirt #nehaber #neajans #siirtnehaber #sağlık #eczane",,,,4,"['siirt', 'nehaber', 'neajans', 'siirtnehaber', 'sağlık', 'eczane']"
Dakbilir,@Dakbilircom,2021-08-10T07:03:33.000Z,"Medikal Sakatlık

#medikal #hasta #hastane #doktor #sağlık #trafik #kaza #hız #trafikkazası #dask #kaza #araç #araba  #trafiksigorta #trafik #sigortaacentesi #trafikkazası #işkazası",,,3,10,"['medikal', 'hasta', 'hastane', 'doktor', 'sağlık', 'trafik', 'kaza', 'hız', 'trafikkazası', 'dask', 'kaza', 'araç', 'araba', 'trafiksigorta', 'trafik', 'sigortaacentesi', 'trafikkazası', 'işkazası']"
Kum Saati,@mehmetevran6316,2021-08-07T17:46:15.000Z,"7 Ağustos 2021 Cumartesi
#saglik",,,,,['saglik']
Kum Saati,@mehmetevran6316,2021-08-06T03:48:48.000Z,"#hayirlicumalar 
6 Ağustos 2021 Cuma
#saglik
#limon",,,,1,"['hayirlicumalar', 'saglik', 'limon']"
Selma İmece,@selma_imece,2021-08-09T20:40:21.000Z,#usuireiki #reikienerji #şifaenerjisi #bilinçaltı #travma #ailetravması #ilişki #aşk #evlilik #blokaj #sağlık #bedenruhzihin #dönüşüm #iyileşme #bollukbereket #Karma #karmikilişki #annekarnıdönemi,,,3,3,"['usuireiki', 'reikienerji', 'şifaenerjisi', 'bilinçaltı', 'travma', 'ailetravması', 'ilişki', 'aşk', 'evlilik', 'blokaj', 'sağlık', 'bedenruhzihin', 'dönüşüm', 'iyileşme', 'bollukbereket', 'Karma', 'karmikilişki', 'annekarnıdönemi']"
Güngören Hastanesi,@gungorenhastane,2021-08-11T13:06:57.000Z,"Sokak hayvanlarının bize ihtiyacı var, canları bize emanet. Kapınızın önüne bir kap su ve yiyebilecekleri mamaları bırakmayı ihmal etmeyin.  

#güngörenhastanesi #sağlık #hastalık #hastane #sokakhayvanları #birkapmama #birkapsu #köpek  #kedi",,,,1,"['güngörenhastanesi', 'sağlık', 'hastalık', 'hastane', 'sokakhayvanları', 'birkapmama', 'birkapsu', 'köpek', 'kedi']"
Cagrihaber.com,@ComCagrihaber,2021-08-07T06:54:35.000Z,Suruç’ta kanala düşen adam ağır yaralandı Şanlıurfa'nın Suruç İlçesi'nde iddiaya göre https://cagrihaber.com/?p=32374&utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost… #gÜndem #saĞlik #yerelhaberler,,,,,"['gÜndem', 'saĞlik', 'yerelhaberler']"
eczasaglikfuari,@eczasaglikfuari,2021-08-11T07:14:31.000Z,"Medikal Malzemeler, Ortopedik  ve Optik Ürünler üzerine yeni markaları bir arada bulacağınız  Mezopotamya Eczacılık ve Sağlık Fuarı  30-31 Ekim 2021 tarihinde Mezopotamya  Uluslararası Fuar ve Kongre Merkezi'nde #eczane #sağlık #ilaç #farmasi #medicalmalzeme",,,,,"['eczane', 'sağlık', 'ilaç', 'farmasi', 'medicalmalzeme']"
olay.com.tr,@OlayHaber_Bursa,2021-08-11T16:53:00.000Z,"Bakan Koca'dan kritik açıklamalar! Canlı izle...

https://olay.com.tr/bakan-kocadan-kritik-aciklamalar-canli-izle-3-831866… #haber #sondakika #Sağlık",,,,,"['haber', 'sondakika', 'Sağlık']"
Yeni Mesaj Gazetesi,@yenimesaj,2021-08-05T15:36:16.000Z,"Uzmanından, konjenital hipotiroid hakkında uyarı

https://yenimesaj.com.tr/uzmanindan-konjenital-hipotiroid-hakkinda-uyari-H1402195.htm…

#sağlık #perşembe","Uzmanından, konjenital hipotiroid hakkında uyarı
'Bu hastalığın önemi, toplumda sık rastlanması ve önlenebilir zeka geriliğinin en sık görülen nedeni olmasıdır'
yenimesaj.com.tr",,1,2,"['sağlık', 'perşembe']"
Gaziantep Referans Gazetesi,@ReferansGazetes,2021-08-11T17:03:11.000Z,"Bilim Kurulu Toplantısı bitti!
Bakan Koca'dan yüz yüze eğitim açıklaması!

http://referansgazetesi.com.tr/haber/bakan-kocadan-yuz-yuze-egitim-aciklamasi-60683.html… 

#SonDakika #Sağlık #Eğitim #bilimkurulu #BakanKoca #FahrettinKoca #Yüzyüzeeğitim #Covid19 #Biontech #Sinovac #TURKOVAC",,,,1,"['SonDakika', 'Sağlık', 'Eğitim', 'bilimkurulu', 'BakanKoca', 'FahrettinKoca', 'Yüzyüzeeğitim', 'Covid19', 'Biontech', 'Sinovac', 'TURKOVAC']"
Bursa Sancak,@BursaSancak,2021-08-11T08:34:52.000Z,"İklim değişikliğinde su ürünleri, beslenme ve gıda ihtiyacının karşılanması için önemli #Bursa 
https://tinyurl.com/2hpcb7ka
#bursa #sondakika #haber #gündem #çarşamba #sağlık",,,,,"['Bursa', 'bursa', 'sondakika', 'haber', 'gündem', 'çarşamba', 'sağlık']"
Kivi Tadında,@kivitadinda,2021-08-11T16:42:17.000Z,"Ateş Basmalarına Karşı Doğal Çözümler

Her menopoza giren kadının yaşadığı doğal bir döngü olan ateş basması bazen can sıkıcı hal almaktadır. Öyle ki yaşam kalitesini düşüren, uyku düzenini bozan ve günlük aktiviteleri dahi etkilemektedir.

#kadin #saglik","Menopoz Dönemindeki Ateş Basmalarına 3 Doğal Çözüm - Kivi Tadında
Menopoz Dönemindeki Ateş Basmalarına 3 Doğal Çözüm. Her menopoza giren kadının yaşadığı ateş basmaları bazen can sıkıcı bir hal almaktadır.
kivitadinda.com",,,,"['kadin', 'saglik']"
BursaTV,@bursatvcomtr,2021-08-11T05:07:41.000Z,"Bugün 1 milyon 434 bin 181 doz koronavirüs aşısı yapıldı https://tinyurl.com/yjc5x7l2

#bursa #bursahaberleri #sondakika #gündem #çarşamba #sağlık #covid-19",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'çarşamba', 'sağlık', 'covid']"
Hayata Cam Kat,@HayataCamKat,2021-08-12T07:31:45.000Z,"Taze sebze ve meyveler kullanarak hazırlayacağınız ev yapımı detoks içecekleri cam şişelerde saklayıp, tükettiğinizde kendinizi yenilenmiş ve güvende hissedebilirsiniz.
#HayataCamKat #camambalaj #cam #detoks #sağlık #yaz",,,,1,"['HayataCamKat', 'camambalaj', 'cam', 'detoks', 'sağlık', 'yaz']"
Seval,@GazeteciSeval,2021-08-11T10:15:48.000Z,"SMA Hastası Muhammed Ali yardım bekliyor

#SMA #Sağlık #Antalya #Kahramanmaraş #habermerkezi46 #haber #Muhammedali #yardım #çarşamba #ağustos","SMA Hastası Muhammed Ali yardım bekliyor
Antalya'da yaşayan SMA Tip 1 hastası Muhammed Ali için sayılı gün kaldı. Onun için başlatılan yardım kampanyasının neredeyse yüzde 60-ı tamamlanabildi. Akyol ailesi daha iki yaşına bile girmemiş...
habermerkezi46.com",,,2,"['SMA', 'Sağlık', 'Antalya', 'Kahramanmaraş', 'habermerkezi46', 'haber', 'Muhammedali', 'yardım', 'çarşamba', 'ağustos']"
Mizgin Esmer,@MizginEsmer6,2021-08-10T11:49:22.000Z,"Sayın bakanım binlerce #saglik çalışanı müjdeli haberinizi bekliyor 
@drfahrettinkoca
 #SnKocaAtamaMüjdesi",,,1,3,"['saglik', 'SnKocaAtamaMüjdesi']"
GöKteKi YıLdıZ,@Amazon__kadini,2021-08-11T16:40:38.000Z,"Ev diyalizine gctim hftanın 3 günü 8 saat. 6. Yilimdayim şuan. Ev diyalizi daha saglikli
#VatanEldenGidiyor
#Kastamonu
#Türkbayrağı
#KanalD
#İyikivarsınEren
#Suriyeleriistemiyoruz
#Karadeniz 
#COVID19 
#fahrettinkoca 
#HalukLevent #izmir #istanbul #ankara #bursa #diyaliz #saglik",,,,7,"['VatanEldenGidiyor', 'Kastamonu', 'Türkbayrağı', 'KanalD', 'İyikivarsınEren', 'Suriyeleriistemiyoruz', 'Karadeniz', 'COVID19', 'fahrettinkoca', 'HalukLevent', 'izmir', 'istanbul', 'ankara', 'bursa', 'diyaliz', 'saglik']"
MediLive Health,@medilivehealth,2021-08-12T06:30:19.000Z,"Önceliğiniz sosyal mesafe ve kişisel hijyen olsun. Tedbirli olmak size ve sevdiklerinize sağlık verir.

#MediLive #TedbirEnBüyükGüçtür #Sağlık #Pandemi #Covid19 #SağlıklıYaşam #MaskeTak #SosyalMesafe",,,,,"['MediLive', 'TedbirEnBüyükGüçtür', 'Sağlık', 'Pandemi', 'Covid19', 'SağlıklıYaşam', 'MaskeTak', 'SosyalMesafe']"
Mizgin Esmer,@MizginEsmer6,2021-08-10T07:13:01.000Z,"Binlerce #saglik çalışanı atama haberini bekliyor . #SnKocaAtamaMuejdesi 
@drfahrettinkoca
 @RTErdogan
 #SnKocaAtamaNeZmn",,,,1,"['saglik', 'SnKocaAtamaMuejdesi', 'SnKocaAtamaNeZmn']"
Bursa Sancak,@BursaSancak,2021-08-09T13:03:27.000Z,"Taziyeye giden aynı aileden 30 kişi, koronavirüse yakalandı #Bursa 
https://tinyurl.com/kmkw78a2
 #bursa #sondakika #haber #gündem #pazartesi #sağlık",,,,,"['Bursa', 'bursa', 'sondakika', 'haber', 'gündem', 'pazartesi', 'sağlık']"
Nutrefor®,@nutrefor,2021-08-11T08:31:50.000Z,"Nutrefor®’un gücünün farkında olan anneler, yemek seçen  çocuklarının beslenme çantalarına Nutrefor Kids®’i dahil etmeyi unutmuyorlar. 

#Nutrefor #Sebze #Meyve #RenkliBeslen #Kids #Vitamin #Mineral #BesinTakviyesi #SağlıklıYaşam #SağlıklıBeslenme #Sağlık",,,,2,"['Nutrefor', 'Sebze', 'Meyve', 'RenkliBeslen', 'Kids', 'Vitamin', 'Mineral', 'BesinTakviyesi', 'SağlıklıYaşam', 'SağlıklıBeslenme', 'Sağlık']"
BAM,@mucadele_bam,2021-08-11T08:18:30.000Z,Sigara bırakma konusunda 7 gün 24 saat esasına göre hizmet veren Alo 171 Sigara Bırakma Danışma Hattı’nı arayarak destek alabilirsiniz. #çarşamba #alo171 #sağlık #sağlıkbakanlığı #COVID19 #sigara #tütün #nargile #alkol #çevre #başarı #bırakabilirsin #alo191 #madde,,,,1,"['çarşamba', 'alo171', 'sağlık', 'sağlıkbakanlığı', 'COVID19', 'sigara', 'tütün', 'nargile', 'alkol', 'çevre', 'başarı', 'bırakabilirsin', 'alo191', 'madde']"
Bursa Sancak,@BursaSancak,2021-08-09T12:29:01.000Z,"Bakan Koca'dan Hakkari'ye 'aşı' teşekkürü #Bursa 
https://tinyurl.com/aunumtm 
#bursa #sondakika #haber #gündem #pazartesi #sağlık",,,,,"['Bursa', 'bursa', 'sondakika', 'haber', 'gündem', 'pazartesi', 'sağlık']"
Çağrı Güner,@CagriGner,2021-08-05T08:35:01.000Z,"Yangın yerlerinde ki İhtiyaç sahiplerine ulaştırmak üzere hazırladığımız ilaç kolileri yola çıkmaya hazır.
#Yardım
#Yangın
#Antalya
#Muğla
#Manavgat
#termiksantral 
#Persembe 
#OrmanınKahramanları #Ormanlaryanıyor 
#Ankara
#Saglık",,,,,"['Yardım', 'Yangın', 'Antalya', 'Muğla', 'Manavgat', 'termiksantral', 'Persembe', 'OrmanınKahramanları', 'Ormanlaryanıyor', 'Ankara', 'Saglık']"
Kayısır Prebiyotik Kayısı Ekstresi,@kayisir44,2021-08-10T12:50:51.000Z,"Kayısır Tahriş ve Kaşıntı Giderici Bakım Yağı cildinizdeki tahriş ve kaşıntıyı durdurur, sağlıklı bir cilde kavuşmanızı sağlar.

Detaylı bilgi ve sipariş için;

 0422 311 00 19
 0551 799 22 22

#kayısır #acıkayısıçekirdeği #sağlık #aromaterapi #tahriş #kaşıntı",,,,2,"['kayısır', 'acıkayısıçekirdeği', 'sağlık', 'aromaterapi', 'tahriş', 'kaşıntı']"
Whitewhite000,@Whitewhite0002,2021-08-11T20:01:58.000Z,"#aile
#KocaDamarımızaBastın 
#sağlık","Muhammed Ali Sma
@muhammedalisma
 · 11h
Sen yoksan bir eksiğiz 

TR 10 0001 2009 5080 0001 1328 69 
Halkbank İban 
Alıcı: Abdullah Akyol 
Açıklama: Muhammed Ali Yaşasın

BALYANAK yazıp 2412’ye SMS atabilirsiniz.(TURKTELEKOM için)

BALYANAK yazıp 2312’ye SMS atabilirsiniz(TURKCELL Ve VODAFONE hatları için )
Show this thread",,,,"['aile', 'KocaDamarımızaBastın', 'sağlık']"
Yeni Mesaj Gazetesi,@yenimesaj,2021-08-05T15:36:56.000Z,"Günde ne kadar su tüketiyorsunuz?

https://yenimesaj.com.tr/gunde-ne-kadar-su-tuketiyorsunuz-H1402198.htm…

#sağlık #perşembe","Günde ne kadar su tüketiyorsunuz?
Batman'da görev yapan Dahiliye Uzmanı Doktor Mustafa Güneş, artan sıcak havalarla ilgili vatandaşlara uyarılarda bulundu
yenimesaj.com.tr",,1,3,"['sağlık', 'perşembe']"
